,Exercise Name,Exercise Type,Muscle Group,Equipment,Difficulty Level,Rating
39,Dumbbell V-Sit Cross Jab,Strength,Abdominals,Dumbbell,Intermediate,9.3
40,Dumbbell spell caster,Strength,Abdominals,Dumbbell,Beginner,9.3
41,Dumbbell side bend,Strength,Abdominals,Dumbbell,Intermediate,8.6
42,Dumbbell crunch,Strength,Abdominals,Dumbbell,Intermediate,
43,Dumbbell Fix Dumbbell Sprawl,Strength,Abdominals,Dumbbell,Intermediate,
44,Dumbbell Fix Alternating Renegade Row,Strength,Abdominals,Dumbbell,Intermediate,
45,Dumbbell Fix Dumbbell Mountain Climber,Strength,Abdominals,Dumbbell,Intermediate,
46,Dumbbell Fix Dumbbell Russian Twist,Strength,Abdominals,Dumbbell,Intermediate,
47,Dumbbell Fix Dumbbell Pull-Over,Strength,Abdominals,Dumbbell,Intermediate,
48,Dumbbell Fix Dumbbell Sit-Up,Strength,Abdominals,Dumbbell,Intermediate,
49,Dumbbell Fix Dumbbell Front Squat,Strength,Abdominals,Dumbbell,Intermediate,
50,Dumbbell Fix Full Man Maker,Strength,Abdominals,Dumbbell,Intermediate,
51,Dumbbell T-hold,Strength,Abdominals,Dumbbell,Intermediate,
52,Dumbbell hollow-body floor press,Strength,Abdominals,Dumbbell,Intermediate,
53,Dumbbell crusher,Strength,Abdominals,Dumbbell,Intermediate,
54,Dumbbell Crunch - Gethin Variation,Strength,Abdominals,Dumbbell,Intermediate,
55,Single-arm dumbbell crunch,Strength,Abdominals,Dumbbell,Intermediate,
56,HM Alternating Dumbbell Plank Row,Strength,Abdominals,Dumbbell,Intermediate,
57,Dumbbell straight-legged hip raise,Strength,Abdominals,Dumbbell,Intermediate,
58,Seated leg tuck with dumbbell,Strength,Abdominals,Dumbbell,Intermediate,
59,Dumbbell V-sit cross jab-,Strength,Abdominals,Dumbbell,Intermediate,
60,30 Hanging Leg Raise With Dumbbell,Strength,Abdominals,Dumbbell,Intermediate,
61,Dumbbell Get-Up Sit-Up,Strength,Abdominals,Dumbbell,Expert,
62,Holman Right Side Plank with Left Triceps Press,Strength,Abdominals,Dumbbell,Intermediate,
63,Holman Left Side Plank with Right Triceps Press,Strength,Abdominals,Dumbbell,Intermediate,
64,Holman Boat with Feet Push-Out and Overhead Press,Strength,Abdominals,Dumbbell,Intermediate,
65,Holman Hovering Plank Row,Strength,Abdominals,Dumbbell,Intermediate,
66,Holman Weighted Seated Killer Abs to Russian Twist,Strength,Abdominals,Dumbbell,Intermediate,
67,Holman Straight Plank Dumbbell Reach-Under,Strength,Abdominals,Dumbbell,Intermediate,
68,Holman Straight-Arm Side Plank Overhead Press to Chest Press,Strength,Abdominals,Dumbbell,Intermediate,
69,Holman Weighted Burpee to Pike,Strength,Abdominals,Dumbbell,Intermediate,
70,Holman Straight-Legged Boat Chest Press,Strength,Abdominals,Dumbbell,Intermediate,
71,Holman Weighted Burpee to Side Delt Raise,Strength,Abdominals,Dumbbell,Intermediate,
72,Holman Heavy Double Pike,Strength,Abdominals,Dumbbell,Intermediate,
73,Holman Heavy Double Split Pike,Strength,Abdominals,Dumbbell,Intermediate,
74,MetaBurn Alternating Dumbbell Sit-Through,Strength,Abdominals,Dumbbell,Intermediate,
75,MetaBurn Alternating Plank Row With Dumbbell Pull-Through,Strength,Abdominals,Dumbbell,Intermediate,
76,MetaBurn Alternating Plank Row With Push-Up,Strength,Abdominals,Dumbbell,Intermediate,
77,MetaBurn Dumbbell Russian Twist,Strength,Abdominals,Dumbbell,Intermediate,
78,MetaBurn Dumbbell Toe-Touch,Strength,Abdominals,Dumbbell,Intermediate,
79,MetaBurn Plank To Alternating Row,Strength,Abdominals,Dumbbell,Intermediate,
80,Standing dumbbell knee crunch-,Strength,Abdominals,Dumbbell,Intermediate,
81,MetaBurn Plank With Dumbbell Rotation,Strength,Abdominals,Dumbbell,Intermediate,
82,FYR2 Dumbbell Crab Reach,Strength,Abdominals,Dumbbell,Intermediate,
83,FYR2 Dumbbell Man-Maker,Strength,Abdominals,Dumbbell,Intermediate,
84,FYR2 Dumbbell Sit-Up Reach,Strength,Abdominals,Dumbbell,Intermediate,
85,FYR2 Loaded Beast Sprawl,Strength,Abdominals,Dumbbell,Intermediate,
86,FYR2 Loaded to Unloaded Beast,Strength,Abdominals,Dumbbell,Intermediate,
87,Lying Leg Pullover,Strength,Abdominals,Dumbbell,Intermediate,
88,Landmine twist,Strength,Abdominals,Other,Intermediate,9.5
89,Suspended ab fall-out,Strength,Abdominals,Other,Intermediate,9.3
90,Decline reverse crunch,Strength,Abdominals,Other,Intermediate,9.2
91,Plate Twist,Strength,Abdominals,Other,Beginner,9.0
92,Weighted Crunches,Strength,Abdominals,Other,Intermediate,8.9
93,Ab Roller,Strength,Abdominals,Other,Intermediate,8.9
94,Otis-Up,Strength,Abdominals,Other,Intermediate,8.8
95,Captain's chair knee raise,Strength,Abdominals,Other,Intermediate,8.6
96,Sledgehammer swing,Plyometrics,Abdominals,Other,Intermediate,8.6
97,Pallof press,Strength,Abdominals,Other,Intermediate,8.4
98,Weighted Sit-Ups - With Bands,Strength,Abdominals,Other,Intermediate,8.0
99,Suitcase crunch,Strength,Abdominals,Other,Intermediate,0.0
100,FYR Rope Jumping,Strength,Abdominals,Other,Intermediate,
101,Barbell press sit-up,Strength,Abdominals,Other,Intermediate,
102,Single-arm bent-over rear delt fly,Strength,Abdominals,Other,Intermediate,
103,Captain's chair leg raise,Strength,Abdominals,Other,Intermediate,
104,Shoulder-Elevated One-Leg Hip Thrusts,Strength,Abdominals,Other,Intermediate,
105,Ab Twist - Gethin Variation,Strength,Abdominals,Other,Intermediate,
106,Weighted Crunch - Gethin Variation,Strength,Abdominals,Other,Intermediate,
107,Ab Wheel Roll-Out - Gethin Variation,Strength,Abdominals,Other,Intermediate,
108,Bench crunch,Strength,Abdominals,Other,Intermediate,
109,Decline plate sit-up twist,Strength,Abdominals,Other,Intermediate,
110,Reverse ab roll-out,Strength,Abdominals,Other,Intermediate,
111,30 Seated Twist With PVC Pipe,Strength,Abdominals,Other,Intermediate,
112,Suspended crunch-,Strength,Abdominals,Other,Intermediate,
113,Suspended oblique crunch,Strength,Abdominals,Other,Intermediate,
114,Weighted sit-up,Strength,Abdominals,Other,Intermediate,
115,30 Decline Press Sit-Up,Strength,Abdominals,Other,Intermediate,
116,Holman Towel Reverse Plank Alternating Heel Pull-in,Strength,Abdominals,Other,Intermediate,
117,Holman Boat with Weighted Cross Punch,Strength,Abdominals,Other,Intermediate,
118,Holman Weighted Hook Punch,Strength,Abdominals,Other,Intermediate,
119,Holman Weighted Traveling Punch,Strength,Abdominals,Other,Intermediate,
120,Holman Weighted Uppercut Punch,Strength,Abdominals,Other,Intermediate,
121,Holman Slow Weighted Double Pike,Strength,Abdominals,Other,Intermediate,
122,Holman Plate Straight Plank Reach,Strength,Abdominals,Other,Intermediate,
123,Holman Plate Elbow Plank Jack to Straight Plank Jack,Strength,Abdominals,Other,Intermediate,
124,Holman Plate Hill Climber,Strength,Abdominals,Other,Intermediate,
125,Holman Plate Reverse Plank Hill Climber,Strength,Abdominals,Other,Intermediate,
126,Holman Plate Straight Plank Pike to Jack,Strength,Abdominals,Other,Intermediate,
127,Holman Plate In-and-Out Push-Up,Strength,Abdominals,Other,Intermediate,
128,Holman Plate Burpee,Strength,Abdominals,Other,Intermediate,
129,Holman Plate Elbow Plank Reach,Strength,Abdominals,Other,Intermediate,
130,Holman Elbow Plank to Renegade Row,Strength,Abdominals,Other,Intermediate,
131,Holman Straight Plank Weighted Hand Hill Climber,Strength,Abdominals,Other,Intermediate,
132,Holman Weighted Left Side Diagonal Pike,Strength,Abdominals,Other,Intermediate,
133,Holman Weighted Right Side Diagonal Pike,Strength,Abdominals,Other,Intermediate,
134,Holman Weighted W-Boat to Overhead Press,Strength,Abdominals,Other,Intermediate,
135,Holman Weighted Kneeling Lift,Strength,Abdominals,Other,Intermediate,
136,Holman Hips-Up Weighted Pull-Over,Strength,Abdominals,Other,Intermediate,
137,Holman Weighted Cross Punch,Strength,Abdominals,Other,Intermediate,
138,Holman Straight-Leg Boat Hover Chest Press,Strength,Abdominals,Other,Intermediate,
139,Holman Weighted Pike,Strength,Abdominals,Other,Intermediate,
140,Holman Feet-Elevated Wax-On Wax-Off,Strength,Abdominals,Other,Intermediate,
141,Holman Elbow Plank to Towel Pike,Strength,Abdominals,Other,Intermediate,
142,Holman Seated Killer Abs Overhead Press,Strength,Abdominals,Other,Intermediate,
143,Holman Straight Plank Alternating Weighted Open,Strength,Abdominals,Other,Intermediate,
144,Holman Weighted Killer Abs with Overhead Press,Strength,Abdominals,Other,Intermediate,
145,Holman Weighted Split-Leg Pike,Strength,Abdominals,Other,Intermediate,
146,Holman Towel Reverse Plank Heel Pull-in,Strength,Abdominals,Other,Intermediate,
147,Stick Twist,Strength,Abdominals,Other,Intermediate,
148,Roc Everest,Cardio,Abdominals,Other,Intermediate,
149,Standing cable low-to-high twist,Strength,Abdominals,Cable,Intermediate,9.3
150,Single-arm high-cable side bend,Strength,Abdominals,Cable,Intermediate,9.1
151,Kneeling cable oblique crunch,Strength,Abdominals,Cable,Intermediate,9.0
152,Kneeling cable crunch,Strength,Abdominals,Cable,Intermediate,8.9
153,Rope Crunch,Strength,Abdominals,Cable,Intermediate,8.6
154,Standing cable crunch,Strength,Abdominals,Cable,Intermediate,8.6
155,Bosu Ball Cable Crunch With Side Bends,Strength,Abdominals,Cable,Beginner,8.5
156,Standing Cable Wood Chop,Strength,Abdominals,Cable,Intermediate,8.2
157,Cable reverse crunch,Strength,Abdominals,Cable,Beginner,8.2
158,Cable Russian Twists,Strength,Abdominals,Cable,Beginner,8.1
159,Pallof press with rotation,Strength,Abdominals,Cable,Intermediate,7.9
160,Cable Seated Crunch,Strength,Abdominals,Cable,Beginner,7.7
161,Cable Judo Flip,Strength,Abdominals,Cable,Beginner,5.0
162,Exercise Ball Cable Crunch - Gethin Variation,Strength,Abdominals,Cable,Intermediate,
163,Standing cable high-to-low twist,Strength,Abdominals,Cable,Intermediate,
164,Bent-Over Reverse Cable Fly,Strength,Abdominals,Cable,Intermediate,
165,Standing Cable Crunch - Gethin Variation,Strength,Abdominals,Cable,Intermediate,
166,AM Cable Crunch,Strength,Abdominals,Cable,Intermediate,
167,Tyler Holt Weighted Knee-To-Chest Crunch,Strength,Abdominals,Cable,Intermediate,
168,Standing cable twist,Strength,Abdominals,Cable,Intermediate,
169,30 Cable Rope Crunch,Strength,Abdominals,Cable,Intermediate,
170,30 Cable Rope Oblique Crunch,Strength,Abdominals,Cable,Intermediate,
171,Cable lying twist on ball,Strength,Abdominals,Cable,Intermediate,
172,30 Cable Pallof Press,Strength,Abdominals,Cable,Intermediate,
173,30 Cable Reverse Crunch On Ball,Strength,Abdominals,Cable,Intermediate,
174,30 Cable Reverse Crunch,Strength,Abdominals,Cable,Intermediate,
175,Tyler Holt Cable Torso Twist,Strength,Abdominals,Cable,Intermediate,
176,Single-Arm Cable Outward-Facing Biceps Curl,Strength,Abdominals,Cable,Intermediate,
177,Biceps Rope Curl,Strength,Abdominals,Cable,Intermediate,
178,Kneeling Cable Crunches,Strength,Abdominals,Cable,Intermediate,
179,Ab Crunch Machine,Strength,Abdominals,Machine,Intermediate,8.0
180,Smith machine straight-legged hip raise,Strength,Abdominals,Machine,Intermediate,8.0
181,Machine crunch,Strength,Abdominals,Machine,Intermediate,
182,AM Ab Machine,Strength,Abdominals,Machine,Intermediate,
183,Smith machine V-up,Strength,Abdominals,Machine,Intermediate,
184,Elbow plank,Strength,Abdominals,Body Only,Intermediate,9.3
185,Bottoms Up,Strength,Abdominals,Body Only,Intermediate,9.3
186,Spider crawl,Strength,Abdominals,Body Only,Intermediate,9.2
187,Cocoons,Strength,Abdominals,Body Only,Intermediate,9.1
188,Cross-Body Crunch,Strength,Abdominals,Body Only,Intermediate,9.1
189,Elbow-to-knee crunch,Strength,Abdominals,Body Only,Intermediate,9.1
190,Decline Crunch,Strength,Abdominals,Body Only,Intermediate,9.0
191,Hanging toes-to-bar,Strength,Abdominals,Body Only,Intermediate,9.0
192,Hanging Oblique Knee Raise,Strength,Abdominals,Body Only,Intermediate,9.0
193,Gorilla Chin/Crunch,Strength,Abdominals,Body Only,Beginner,9.0
194,Hanging leg raise,Strength,Abdominals,Body Only,Intermediate,8.9
195,Mountain climber,Plyometrics,Abdominals,Body Only,Intermediate,8.8
196,Ab bicycle,Strength,Abdominals,Body Only,Intermediate,8.8
197,3/4 sit-up,Strength,Abdominals,Body Only,Intermediate,8.8
198,Reverse crunch,Strength,Abdominals,Body Only,Intermediate,8.8
199,Crunches,Strength,Abdominals,Body Only,Intermediate,8.7
200,Dead bug reach,Strength,Abdominals,Body Only,Intermediate,8.6
201,Crunch - Hands Overhead,Strength,Abdominals,Body Only,Beginner,8.6
202,V-up,Strength,Abdominals,Body Only,Intermediate,8.5
203,Stomach Vacuum,Stretching,Abdominals,Body Only,Beginner,8.5
204,Russian twist,Strength,Abdominals,Body Only,Intermediate,8.4
205,Flat Bench Lying Leg Raise,Strength,Abdominals,Body Only,Intermediate,8.4
206,Knees tucked crunch,Strength,Abdominals,Body Only,Intermediate,8.4
207,Butt-Ups,Strength,Abdominals,Body Only,Beginner,8.3
208,Feet-elevated oblique crunch,Strength,Abdominals,Body Only,Intermediate,8.3
209,Bent-knee reverse crunch,Strength,Abdominals,Body Only,Intermediate,8.1
210,Alternating heel-touch,Strength,Abdominals,Body Only,Intermediate,8.0
211,Suspended Reverse Crunch,Strength,Abdominals,Body Only,Intermediate,7.8
212,Lying bench reverse crunch,Strength,Abdominals,Body Only,Intermediate,7.7
213,Sit-up,Strength,Abdominals,Body Only,Intermediate,7.5
214,Side Bridge,Strength,Abdominals,Body Only,Intermediate,7.5
215,Lying oblique crunch,Strength,Abdominals,Body Only,Intermediate,7.4
216,Janda Sit-Up,Strength,Abdominals,Body Only,Beginner,7.4
217,Leg Pull-In,Strength,Abdominals,Body Only,Beginner,7.4
218,Side Jackknife,Strength,Abdominals,Body Only,Intermediate,7.3
219,Scissor Kick,Stretching,Abdominals,Body Only,Intermediate,7.0
220,Toe Touchers,Stretching,Abdominals,Body Only,Intermediate,6.9
221,Lower Back Curl,Stretching,Abdominals,Body Only,Intermediate,6.5
222,Exercise ball torso rotation,Stretching,Abdominals,Body Only,Intermediate,5.0
223,Seated Overhead Stretch,Stretching,Abdominals,Body Only,Intermediate,4.7
224,Overhead Stretch,Stretching,Abdominals,Body Only,Intermediate,3.9
225,Seated Scissor Kick,Strength,Abdominals,Body Only,Intermediate,0.0
226,Partner resistance standing twist,Strength,Abdominals,Body Only,Intermediate,0.0
227,Cross Crunch,Strength,Abdominals,Body Only,Beginner,0.0
228,Full Moon,Strength,Abdominals,Body Only,Beginner,0.0
229,Hanging knee raise with manual resistance,Strength,Abdominals,Body Only,Beginner,0.0
230,Straight-Legged Hip Raise,Strength,Abdominals,Body Only,Intermediate,0.0
231,Wall mountain climber,Plyometrics,Abdominals,Body Only,Intermediate,0.0
232,Skin The Cat To Push-Up,Strength,Abdominals,Body Only,Intermediate,0.0
233,Partner lying leg raise with lateral throw down,Strength,Abdominals,Body Only,Beginner,0.0
234,Hanging leg raise with throw down,Strength,Abdominals,Body Only,Beginner,0.0
235,Partner sit-up with high-five,Strength,Abdominals,Body Only,Beginner,0.0
236,Exercise ball knee roll-in,Strength,Abdominals,Body Only,Intermediate,0.0
237,Partner lying leg raise with throw down,Strength,Abdominals,Body Only,Beginner,0.0
238,Crab toe-touch,Strength,Abdominals,Body Only,Intermediate,0.0
239,Side kick-through,Strength,Abdominals,Body Only,Intermediate,0.0
240,Partner target sit-up,Strength,Abdominals,Body Only,Beginner,0.0
241,Suspended Crunch,Strength,Abdominals,Body Only,Beginner,0.0
242,Jump Lunge,Strength,Abdominals,Body Only,Intermediate,
243,Side plank hip dip,Strength,Abdominals,Body Only,Intermediate,
244,Elbow plank jack,Strength,Abdominals,Body Only,Intermediate,
245,Exercise ball V-up,Strength,Abdominals,Body Only,Intermediate,
246,Standing torso twist stretch,Strength,Abdominals,Body Only,Intermediate,
247,Slalom jumps,Plyometrics,Abdominals,Body Only,Intermediate,
248,Bear crawl,Strength,Abdominals,Body Only,Intermediate,
249,Crab single-arm reach,Stretching,Abdominals,Body Only,Intermediate,
250,Side lunge cross-body heel-touch,Strength,Abdominals,Body Only,Intermediate,
251,Alligator Crawl,Strength,Abdominals,Body Only,Intermediate,
252,Lying cross-over lower back stretch,Strength,Abdominals,Body Only,Intermediate,
253,Half bird dog,Stretching,Abdominals,Body Only,Intermediate,
254,Shoulder tap,Strength,Abdominals,Body Only,Intermediate,
255,Double crunch,Strength,Abdominals,Body Only,Intermediate,
256,Flutter kick,Strength,Abdominals,Body Only,Intermediate,
257,Sprawl,Strength,Abdominals,Body Only,Intermediate,
258,Spider plank jack,Strength,Abdominals,Body Only,Intermediate,
259,Pillar-To-Plank,Strength,Abdominals,Body Only,Intermediate,
260,Alternating High Knee Raise,Strength,Abdominals,Body Only,Intermediate,
261,Sumo Squat Pulse,Strength,Abdominals,Body Only,Intermediate,
262,Line-Drill Foot Work,Strength,Abdominals,Body Only,Intermediate,
263,Plank Fire Hydrants,Strength,Abdominals,Body Only,Intermediate,
264,Banded jumping jack,Strength,Abdominals,Body Only,Intermediate,
265,Shin hug,Strength,Abdominals,Body Only,Intermediate,
266,FYR Bear Crawl Fire Feet,Strength,Abdominals,Body Only,Intermediate,
267,Bear crawl up-down,Strength,Abdominals,Body Only,Intermediate,
268,FYR Crab Kick,Strength,Abdominals,Body Only,Intermediate,
269,Bear crawl hold,Strength,Abdominals,Body Only,Intermediate,
270,Traveling bear crawl,Strength,Abdominals,Body Only,Intermediate,
271,Single-leg V-up,Strength,Abdominals,Body Only,Intermediate,
272,FYR Bear Crawl Shoulder Tap,Strength,Abdominals,Body Only,Intermediate,
273,Alternating single-leg sprawl,Strength,Abdominals,Body Only,Intermediate,
274,Wide mountain climber,Strength,Abdominals,Body Only,Intermediate,
275,Plank leg raise,Strength,Abdominals,Body Only,Intermediate,
276,Glute bridge step-out,Strength,Abdominals,Body Only,Intermediate,
277,Knee up-down,Strength,Abdominals,Body Only,Intermediate,
278,FYR Sprawl,Strength,Abdominals,Body Only,Intermediate,
279,Reach crunch,Strength,Abdominals,Body Only,Intermediate,
280,FYR Push-Up Plank Hold,Strength,Abdominals,Body Only,Intermediate,
281,FYR Hollow-Body Rock,Strength,Abdominals,Body Only,Intermediate,
282,V-up plus knee-to-chest combo,Strength,Abdominals,Body Only,Intermediate,
283,Side plank lateral raise,Strength,Abdominals,Body Only,Intermediate,
284,Superhero burpee,Strength,Abdominals,Body Only,Intermediate,
285,Hollow-body abduction,Strength,Abdominals,Body Only,Intermediate,
286,FYR Hollow Hold,Strength,Abdominals,Body Only,Intermediate,
287,Tip-toe crunch,Strength,Abdominals,Body Only,Intermediate,
288,Knee-to-nose pulse,Strength,Abdominals,Body Only,Intermediate,
289,Plank walk-out,Strength,Abdominals,Body Only,Intermediate,
290,FYR V-Up,Strength,Abdominals,Body Only,Intermediate,
291,Long sit-up,Strength,Abdominals,Body Only,Intermediate,
292,FYR Breakdancer,Strength,Abdominals,Body Only,Intermediate,
293,Seated leg lift,Strength,Abdominals,Body Only,Intermediate,
294,Gorilla burpee,Strength,Abdominals,Body Only,Intermediate,
295,Knee-in to V-out,Strength,Abdominals,Body Only,Intermediate,
296,Bear crawl push-up,Strength,Abdominals,Body Only,Intermediate,
297,FYR Front Step,Strength,Abdominals,Body Only,Intermediate,
298,Plank reach,Strength,Abdominals,Body Only,Intermediate,
299,Eiffel Tower leg raise,Strength,Abdominals,Body Only,Intermediate,
300,Straight-arm plank,Strength,Abdominals,Body Only,Intermediate,
301,Plank up-down,Strength,Abdominals,Body Only,Intermediate,
302,Frog kick,Strength,Abdominals,Body Only,Intermediate,
303,FYR Knees to Chest,Strength,Abdominals,Body Only,Intermediate,
304,Front kick-through,Strength,Abdominals,Body Only,Intermediate,
305,FYR Sit-Up,Strength,Abdominals,Body Only,Intermediate,
306,FYR Leg Lift,Strength,Abdominals,Body Only,Intermediate,
307,TBS Toes-to-bar,Strength,Abdominals,Body Only,Intermediate,
308,FYR Mountain Climber,Strength,Abdominals,Body Only,Intermediate,
309,Roman Chair Side Ups,Strength,Abdominals,Body Only,Intermediate,
310,Push-Up Roll Out - Gethin Variation,Strength,Abdominals,Body Only,Intermediate,
311,Cross-Body Crunch - Gethin Variation,Strength,Abdominals,Body Only,Intermediate,
312,Decline leg lift with twist,Strength,Abdominals,Body Only,Intermediate,
313,Hanging Leg Raise - Variation Gethin,Strength,Abdominals,Body Only,Intermediate,
314,Butterfly crunch,Strength,Abdominals,Body Only,Intermediate,
315,Cross-body mountain climber,Strength,Abdominals,Body Only,Intermediate,
316,Flat Bench Lying Leg Raise - Gethin Variation,Strength,Abdominals,Body Only,Intermediate,
317,Lying leg lift,Strength,Abdominals,Body Only,Intermediate,
318,Hanging alternating single-leg raise,Strength,Abdominals,Body Only,Intermediate,
319,Plank Walk,Strength,Abdominals,Body Only,Intermediate,
320,Sit-Up - Gethin Variation,Strength,Abdominals,Body Only,Intermediate,
321,Plank Push-Up,Strength,Abdominals,Body Only,Intermediate,
322,Decline crunch-,Strength,Abdominals,Body Only,Intermediate,
323,Alternating lying leg raise,Strength,Abdominals,Body Only,Intermediate,
324,Decline leg lift,Strength,Abdominals,Body Only,Intermediate,
325,Crunch - Gethin Variation,Strength,Abdominals,Body Only,Intermediate,
326,Plank - Gethin Variation,Strength,Abdominals,Body Only,Intermediate,
327,Barbell floor wiper,Strength,Abdominals,Body Only,Intermediate,
328,Prison Push-Up,Strength,Abdominals,Body Only,Intermediate,
329,McGill Modified Curl-Up,Strength,Abdominals,Body Only,Intermediate,
330,Cross-body toe-touch,Strength,Abdominals,Body Only,Intermediate,
331,Toy soldier,Strength,Abdominals,Body Only,Intermediate,
332,Natural Glute Ham Raise with Stability Ball,Strength,Abdominals,Body Only,Intermediate,
333,Lateral ape,Strength,Abdominals,Body Only,Intermediate,
334,Hollow-body knee tuck,Strength,Abdominals,Body Only,Intermediate,
335,HM Air Jumping Rope,Strength,Abdominals,Body Only,Intermediate,
336,HM Alternating Lunge Reach,Strength,Abdominals,Body Only,Intermediate,
337,HM Alternating Side Plank Reach,Strength,Abdominals,Body Only,Intermediate,
338,HM Superman Plank,Strength,Abdominals,Body Only,Intermediate,
339,HM Table Pose,Strength,Abdominals,Body Only,Intermediate,
340,HM Toe Touch,Strength,Abdominals,Body Only,Intermediate,
341,HM Right Side Bird-Dog,Stretching,Abdominals,Body Only,Intermediate,
342,HM Right Side Crunch,Strength,Abdominals,Body Only,Intermediate,
343,HM Bicycle,Strength,Abdominals,Body Only,Intermediate,
344,HM Bird-Dog Plank,Strength,Abdominals,Body Only,Intermediate,
345,HM Boat Pose,Strength,Abdominals,Body Only,Intermediate,
346,HM Bottoms Up,Strength,Abdominals,Body Only,Intermediate,
347,HM Bridge,Strength,Abdominals,Body Only,Intermediate,
348,HM Running Man Crunch,Cardio,Abdominals,Body Only,Intermediate,
349,HM Seated Twist,Strength,Abdominals,Body Only,Intermediate,
350,HM Side-Bend Pose,Strength,Abdominals,Body Only,Intermediate,
351,HM Side-Plank Arm Wrap,Strength,Abdominals,Body Only,Intermediate,
352,HM Side-Plank with Hip Touch,Strength,Abdominals,Body Only,Intermediate,
353,HM Side-Plank with Kick,Strength,Abdominals,Body Only,Intermediate,
354,HM Side V-Up,Strength,Abdominals,Body Only,Intermediate,
355,HM Crab Crunch,Strength,Abdominals,Body Only,Intermediate,
356,HM Cross-Over Crunch,Strength,Abdominals,Body Only,Intermediate,
357,HM Crunch Pulse,Strength,Abdominals,Body Only,Intermediate,
358,HM Dead Bug,Strength,Abdominals,Body Only,Intermediate,
359,HM Single-Leg Inchworm,Strength,Abdominals,Body Only,Intermediate,
360,HM Floor Jack,Strength,Abdominals,Body Only,Intermediate,
361,HM Floor Wiper,Strength,Abdominals,Body Only,Intermediate,
362,HM Floor Kick,Strength,Abdominals,Body Only,Intermediate,
363,HM Sit-Up,Strength,Abdominals,Body Only,Intermediate,
364,HM Slow Mountain Climber,Strength,Abdominals,Body Only,Intermediate,
365,HM Slow Sit-Up,Strength,Abdominals,Body Only,Intermediate,
366,HM Half-Up,Strength,Abdominals,Body Only,Intermediate,
367,HM Hollow-Body Pulse,Strength,Abdominals,Body Only,Intermediate,
368,HM Hollow Hold,Strength,Abdominals,Body Only,Intermediate,
369,HM Inchworm,Strength,Abdominals,Body Only,Intermediate,
